dataset_name,column_name,data_type,allowed_values,missing_allowed,english_description,traditional_chinese_description
person_line_list.csv,person_id,string,P0001 format,no,Synthetic participant identifier.,無意義的合成參與者編號。
person_line_list.csv,site_id,category,zhaohua_hall; hengfang_court; chengyue_terrace,no,Assigned banquet site.,宴席場地代碼。
person_line_list.csv,role_group,category,inner_court_guest; court_attendant; palace_guard; music_dance_staff; kitchen_service_staff,no,Broad fictional court role group.,架空宮廷身分類別。
person_line_list.csv,age_band,category,under_20; 20_29; 30_39; 40_49; 50_plus,no,Synthetic age band.,合成年齡分組。
person_line_list.csv,meal_session,category,early; late,no,Meal serving session.,供餐席次。
person_line_list.csv,meal_set_id,category,jade_set; orchid_set; plain_set,no,Meal set assigned to the participant.,參與者餐套類型。
person_line_list.csv,meal_start_datetime,datetime,ISO 8601,no,meal start datetime,用餐開始／結束時間。
person_line_list.csv,meal_end_datetime,datetime,ISO 8601,no,meal end datetime,用餐開始／結束時間。
person_line_list.csv,survey_response,integer,0; 1,no,Whether the questionnaire was completed.,是否完成問卷。
person_line_list.csv,survey_datetime,datetime,ISO 8601,yes,survey datetime,問卷完成時間
person_line_list.csv,symptom_onset_datetime,datetime,ISO 8601,yes,symptom onset datetime,自述發病時間
person_line_list.csv,symptom_end_datetime,datetime,ISO 8601,yes,symptom end datetime,自述症狀結束時間
person_line_list.csv,nausea,integer,0; 1,yes,Reported nausea.,是否回報症狀：nausea。
person_line_list.csv,vomiting,integer,0; 1,yes,Reported vomiting.,是否回報症狀：vomiting。
person_line_list.csv,diarrhea,integer,0; 1,yes,Reported diarrhea.,是否回報症狀：diarrhea。
person_line_list.csv,abdominal_cramps,integer,0; 1,yes,Reported abdominal_cramps.,是否回報症狀：abdominal_cramps。
person_line_list.csv,fatigue,integer,0; 1,yes,Reported fatigue.,是否回報症狀：fatigue。
person_line_list.csv,headache,integer,0; 1,yes,Reported headache.,是否回報症狀：headache。
person_line_list.csv,low_grade_fever,integer,0; 1,yes,Reported low_grade_fever.,是否回報症狀：low_grade_fever。
person_line_list.csv,dizziness,integer,0; 1,yes,Reported dizziness.,是否回報症狀：dizziness。
person_line_list.csv,rash,integer,0; 1,yes,Reported rash.,是否回報症狀：rash。
person_line_list.csv,vomiting_count_24h,integer,0-10,yes,Vomiting episodes in 24 hours.,24 小時內嘔吐次數。
person_line_list.csv,loose_stool_count_24h,integer,0-14,yes,Loose stools in 24 hours.,24 小時內稀便次數。
person_line_list.csv,medical_visit,integer,0; 1,yes,medical visit,是否就醫
person_line_list.csv,hospitalized,integer,0; 1,yes,hospitalized,是否住院
person_line_list.csv,specimen_collected,integer,0; 1,yes,specimen collected,是否採集檢體
food_exposure.csv,person_id,string,P0001 format,no,Participant identifier.,參與者編號。
food_exposure.csv,food_id,category,jade_dew_custard; harmony_osmanthus_drink; golden_lotus_pastry; pine_duck_roll; snow_pear_soup; plum_glazed_root; sesame_rice_cake; fragrant_mushroom_bundle; spring_herb_salad; imperial_dark_tea,no,Food identifier.,食物代碼。
