log_id,site_id,serving_batch_id,food_id,record_datetime,measurement_type,temperature_c,holding_duration_minutes,record_source,record_quality,missing_reason
E0001,zhaohua_hall,jade_b1,jade_dew_custard,1717-09-16T10:30,holding_temperature,16.4,135,kitchen_temperature_log,recorded,
E0002,zhaohua_hall,jade_b1,jade_dew_custard,1717-09-16T11:15,holding_temperature,17.0,135,kitchen_temperature_log,estimated,
E0003,zhaohua_hall,jade_b1,jade_dew_custard,1717-09-16T12:00,holding_temperature,16.4,135,kitchen_temperature_log,recorded,
E0004,zhaohua_hall,harmony__zha_1,harmony_osmanthus_drink,1717-09-16T11:30,holding_temperature,4.8,112,beverage_temperature_log,recorded,
E0005,zhaohua_hall,jade_b2,jade_dew_custard,1717-09-16T11:30,holding_temperature,18.6,135,kitchen_temperature_log,recorded,
E0006,zhaohua_hall,jade_b2,jade_dew_custard,1717-09-16T12:15,holding_temperature,19.6,135,kitchen_temperature_log,recorded,
E0007,zhaohua_hall,jade_b2,jade_dew_custard,1717-09-16T13:00,holding_temperature,19.1,135,kitchen_temperature_log,recorded,
E0008,zhaohua_hall,harmony__zha_2,harmony_osmanthus_drink,1717-09-16T12:30,holding_temperature,5.2,107,beverage_temperature_log,recorded,
E0009,hengfang_court,jade_b2,jade_dew_custard,1717-09-16T10:45,holding_temperature,24.7,225,kitchen_temperature_log,estimated,
E0010,hengfang_court,jade_b2,jade_dew_custard,1717-09-16T11:30,holding_temperature,25.9,225,kitchen_temperature_log,recorded,
E0011,hengfang_court,jade_b2,jade_dew_custard,1717-09-16T12:15,holding_temperature,25.8,225,kitchen_temperature_log,recorded,
E0012,hengfang_court,harmony__hen_1,harmony_osmanthus_drink,1717-09-16T11:45,holding_temperature,5.2,88,beverage_temperature_log,recorded,
E0013,hengfang_court,jade_b3,jade_dew_custard,1717-09-16T11:45,holding_temperature,25.6,225,kitchen_temperature_log,recorded,
E0014,hengfang_court,jade_b3,jade_dew_custard,1717-09-16T12:30,holding_temperature,26.1,225,kitchen_temperature_log,recorded,
E0015,hengfang_court,jade_b3,jade_dew_custard,1717-09-16T13:15,holding_temperature,27.2,225,kitchen_temperature_log,recorded,
E0016,hengfang_court,harmony__hen_2,harmony_osmanthus_drink,1717-09-16T12:45,holding_temperature,5.2,115,beverage_temperature_log,recorded,
E0017,chengyue_terrace,jade_b1,jade_dew_custard,1717-09-16T11:00,holding_temperature,,175,kitchen_temperature_log,missing,handover_gap
E0018,chengyue_terrace,jade_b1,jade_dew_custard,1717-09-16T11:45,holding_temperature,19.9,175,kitchen_temperature_log,recorded,
E0019,chengyue_terrace,jade_b1,jade_dew_custard,1717-09-16T12:30,holding_temperature,20.1,175,kitchen_temperature_log,recorded,
E0020,chengyue_terrace,harmony__che_1,harmony_osmanthus_drink,1717-09-16T12:00,holding_temperature,5.2,81,beverage_temperature_log,recorded,
E0021,chengyue_terrace,jade_b3,jade_dew_custard,1717-09-16T12:00,holding_temperature,23.3,175,kitchen_temperature_log,recorded,
E0022,chengyue_terrace,jade_b3,jade_dew_custard,1717-09-16T12:45,holding_temperature,22.1,175,kitchen_temperature_log,recorded,
E0023,chengyue_terrace,jade_b3,jade_dew_custard,1717-09-16T13:30,holding_temperature,20.7,175,kitchen_temperature_log,recorded,
E0024,chengyue_terrace,harmony__che_2,harmony_osmanthus_drink,1717-09-16T13:00,holding_temperature,5.1,110,beverage_temperature_log,recorded,
